code,name,start,latestPrice,latestMarket,minPrice,maxPrice,lastPercent,upDays
601799,星宇股份,2011-02-01,199.53,551.01,7.5896,217.57,21,2
601015,陕西黑猫,2014-11-05,8.95,145.86,2.4381,13.3244,19,3
300896,爱美客,2020-09-28,811.08,974.91,330.24,1232.03,18,2
600809,山西汾酒,1994-01-06,300.99,2623.21,11.8579,456.0,17,2
002532,天山铝业,2010-12-31,11.75,546.59,3.7861,14.1221,16,2
300566,激智科技,2016-11-15,46.26,71.79,10.8744,48.45,15,2
601919,中远海控,2007-06-26,11.05,1354.67,2.71,17.06,15,3
300708,聚灿光电,2017-10-16,22.49,58.53,4.0369,41.58,13,1
300323,华灿光电,2012-06-01,14.88,184.54,2.4884,23.0506,11,1
300484,蓝海华腾,2016-03-22,12.47,25.93,6.6525,63.1112,11,1
